,HHID,PN,E5383,F2743,G3061,HH004,JH004,KH004,LH004
0,000002,010,1.0,,,,,,
1,000003,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,000003,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,010001,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,010003,020,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,010003,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,010004,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,010004,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,010013,010,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,010013,010,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
10,010013,010,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
11,010013,010,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
12,010013,010,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
13,010013,010,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
14,010013,010,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
15,010013,010,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
16,010013,010,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
17,010013,010,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
18,010013,010,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
19,010013,010,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
20,010013,010,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0
21,010013,010,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
22,010013,010,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
23,010013,010,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
24,010013,010,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
25,010013,010,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
26,010013,010,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
27,010013,010,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0
28,010013,010,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
29,010013,010,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
30,010013,010,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
31,010013,010,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
32,010013,010,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
33,010013,010,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
34,010013,010,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
35,010013,010,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
36,010013,010,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
37,010013,010,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
38,010013,010,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
39,010013,010,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
40,010013,010,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,010013,010,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
42,010013,010,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0
43,010013,010,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
44,010013,010,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
45,010013,010,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
46,010013,010,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
47,010013,010,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
48,010013,010,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
49,010013,010,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
50,010013,010,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
51,010013,010,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
52,010013,010,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
53,010013,010,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
54,010013,010,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
55,010013,010,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
56,010013,010,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
57,010013,010,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
58,010013,010,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
59,010013,010,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
60,010013,010,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
61,010013,010,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
62,010013,010,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
63,010013,010,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
64,010013,010,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
65,010013,010,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
66,010013,010,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
67,010013,010,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
68,010013,010,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
69,010013,010,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
70,010013,010,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
71,010013,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,010013,040,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
73,010013,040,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
74,010013,040,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
75,010013,040,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
76,010013,040,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
77,010013,040,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
78,010013,040,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
79,010013,040,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
80,010013,040,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
81,010013,040,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
82,010013,040,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
